stn_id,borrowed_hour,borrowed_day,is_holiday,borrowed_num_nearby,강수량(mm),wind_chill,nearby_id,borrowed_date,XGB_Prediction,LGBM_Prediction,Ensemble_Prediction,predicted_borrowed_num
0,17,7,1,2.0,0,4.355111336027708,0,20231203,3.1122918,2.7312184244672624,2.9217551186819954,2.9217551186819954
1,17,7,1,4.0,0,5.176455566970587,1,20231203,3.369089,2.7669513009681204,3.0680200945682277,3.0680200945682277
2,17,7,1,1.0,0,3.3795190499292938,2,20231203,2.3635871,2.01473514213977,2.1891611415883787,2.1891611415883787
3,17,7,1,2.0,0,3.3795190499292938,3,20231203,3.177858,2.1373171788636256,2.6575876465530897,2.6575876465530897
4,17,7,1,3.0,0,5.176455566970587,4,20231203,3.560756,2.5988564491385278,3.0798062086162,3.0798062086162
5,17,7,1,1.0,0,3.3795190499292938,5,20231203,2.3635871,2.01473514213977,2.1891611415883787,2.1891611415883787
6,17,7,1,1.0,0,5.176455566970587,6,20231203,2.9304447,2.24927042963224,2.5898575735197333,2.5898575735197333
7,17,7,1,2.0,0,3.3795190499292938,7,20231203,3.177858,2.1373171788636256,2.6575876465530897,2.6575876465530897
8,17,7,1,3.0,0,5.176455566970587,8,20231203,5.1686096,2.5988564491385278,3.8837330341395764,3.8837330341395764
9,17,7,1,1.0,0,5.176455566970587,9,20231203,4.1248837,3.374136818889598,3.749510235311498,3.749510235311498
10,17,7,1,1.0,0,5.176455566970587,10,20231203,4.1248837,3.374136818889598,3.749510235311498,3.749510235311498
11,17,7,1,2.0,0,3.3795190499292938,11,20231203,4.7604003,4.102975403499356,4.431687849378463,4.431687849378463
12,17,7,1,4.0,0,5.176455566970587,12,20231203,5.001115,2.822712487085627,3.911913666180753,3.911913666180753
13,17,7,1,1.0,0,5.176455566970587,13,20231203,5.1078095,2.2014592775285546,3.654634410569087,3.654634410569087
14,17,7,1,5.0,0,5.176455566970587,14,20231203,4.668272,2.9806661644357937,3.8244690914342057,3.8244690914342057
15,17,7,1,2.0,0,5.920041358043738,15,20231203,1.5999534,2.352028104142438,1.9759907585760408,1.9759907585760408
16,17,7,1,2.0,0,3.2548488570130867,16,20231203,1.8566247,2.181916706555194,2.019270714517984,2.019270714517984
17,17,7,1,2.0,0,3.462259900712974,17,20231203,1.8268458,1.7817219002779725,1.8042838326959014,1.8042838326959014
18,17,7,1,2.0,0,3.462259900712974,18,20231203,1.8268458,1.7817219002779725,1.8042838326959014,1.8042838326959014
19,17,7,1,2.0,0,3.462259900712974,19,20231203,1.8268458,1.7817219002779725,1.8042838326959014,1.8042838326959014
20,17,7,1,1.0,0,3.462259900712974,20,20231203,1.6954113,1.6753448108502977,1.6853780676756678,1.6853780676756678
21,17,7,1,2.0,0,3.2548488570130867,21,20231203,1.497568,1.8049010722007037,1.6512345417422891,1.6512345417422891
22,17,7,1,1.0,0,3.462259900712974,22,20231203,3.3889582,1.6753448108502977,2.5321515132818995,2.5321515132818995
23,17,7,1,2.0,0,3.462259900712974,23,20231203,3.0320866,2.8395687577608317,2.9358276842774496,2.9358276842774496
24,17,7,1,1.0,0,3.462259900712974,24,20231203,3.3889582,2.5934104812562273,2.991184348484864,2.991184348484864
25,17,7,1,4.0,0,3.3795190499292938,25,20231203,2.4725626,3.5566492913945744,3.0146059214464938,3.0146059214464938
26,17,7,1,4.0,0,3.462259900712974,26,20231203,2.6182573,3.3360788875958716,2.97716808588015,2.97716808588015
27,17,7,1,2.0,0,3.462259900712974,27,20231203,3.0320866,2.836026698092836,2.9340566544434514,2.9340566544434514
28,17,7,1,2.0,0,3.462259900712974,28,20231203,3.0320866,2.836026698092836,2.9340566544434514,2.9340566544434514
29,17,7,1,2.0,0,5.161062052147818,29,20231203,3.9009435,3.004774003115918,3.452858760400427,3.452858760400427
30,17,7,1,2.0,0,5.920041358043738,30,20231203,3.441965,3.029317267602807,3.2356411853761102,3.2356411853761102
31,17,7,1,2.0,0,5.161062052147818,31,20231203,2.1187441,3.004774003115918,2.561759069009436,2.561759069009436
32,17,7,1,5.0,0,5.161062052147818,32,20231203,6.9626145,3.6237520216323853,5.293183278958892,5.293183278958892
33,17,7,1,2.0,0,5.920041358043738,33,20231203,5.065604,3.029317267602807,4.047460738751354,4.047460738751354
